Name	Type	SQL
Изменение структуры топливного баланса	0	SELECT s.name, s.numb1120, s.Year, s.B, s.gaz, s.mazut, s.ugol, s.proch | FROM [Станции(архив)] AS s | WHERE (((s.Year)>2018) AND ((Exists (SELECT 1 |         FROM [Станции(архив)] AS s2 |         WHERE  |             s.numb1120 = s2.numb1120 |             AND s.year - 1 = s2.year |             AND ( |                 ABS(s2.gaz / s2.B - s.gaz / s.B) > 0.2 |                 OR ABS(s2.mazut / s2.B - s.mazut / s.B) > 0.2 |                 OR ABS(s2.ugol / s2.B - s.ugol / s.B) > 0.2 |              ...
Имена_в_станции	48	UPDATE [Станции(Схема)] INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB SET [Станции(Схема)].NAME = [Имена_станций]![NAME] | WHERE ((([Станции(Схема)].YEAR)=2006)); | 
'Имена_станций' без подчиненных в 'Списки_агрегатов'	0	SELECT Имена_станций.NAME, Имена_станций.NUMB | FROM Имена_станций LEFT JOIN Списки_агрегатов ON Имена_станций.[NUMB] = Списки_агрегатов.[grcodec] | WHERE (((Списки_агрегатов.grcodec) Is Null)); | 
Итог	0	SELECT [Станции(макет)].OES, [Станции(макет)].YEAR, Sum([Станции(макет)].E) AS Сумма | FROM [Станции(макет)] | WHERE ((([Станции(макет)].VED)>0) AND (([Станции(макет)].OES)=2)) | GROUP BY [Станции(макет)].OES, [Станции(макет)].YEAR; | 
ИтогХ	16	TRANSFORM Sum([Станции(макет)].E) AS Сумма | SELECT IIf([obor]=21,"ПГУ",IIf([obor]=20,"ГТУ",IIf([obor]=22,"Диз",IIf([obor]=23,"Детанд","ПСУ")))) AS type | FROM [Станции(макет)] | WHERE ((([Станции(макет)].VED)=1 Or ([Станции(макет)].VED)=4) AND (([Станции(макет)].OES)=3)) | GROUP BY IIf([obor]=21,"ПГУ",IIf([obor]=20,"ГТУ",IIf([obor]=22,"Диз",IIf([obor]=23,"Детанд","ПСУ")))) | ORDER BY [Станции(макет)].YEAR | PIVOT [Станции(макет)].YEAR; | 
код_ОПЭС_в_списки	48	UPDATE Списки_агрегатов INNER JOIN [ОПЭС-ОТЭТ] ON Списки_агрегатов.stcode = [ОПЭС-ОТЭТ].ОТЭТ SET Списки_агрегатов.stcodeopes = [ОПЭС-ОТЭТ]![ОПЭС] | WHERE (((Списки_агрегатов.stcodeopes)=0)); | 
Коды_областей_в_НеТЭС	48	UPDATE НеТЭС, Имена_областей SET НеТЭС.obl = [Имена_областей]![OBL] | WHERE (((InStr([НеТЭС]![name],[keyword]))>0) And (([Имена_областей].[keyword]) Is Not Null)); | 
Контроль bт	0	SELECT [Станции(Схема)].OES, [Станции(Схема)].NUMB1120, Имена_станций.NAME, [Станции(Схема)].Year, [Станции(Схема)].VED | FROM [Станции(Схема)] INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Схема)].Q)>0) AND (([Станции(Схема)].TURT) Is Null Or ([Станции(Схема)].TURT)=0)) | GROUP BY [Станции(Схема)].OES, [Станции(Схема)].NUMB1120, Имена_станций.NAME, [Станции(Схема)].Year, [Станции(Схема)].VED | HAVING ((([Станции(Схема)].Year)>2025) AND (([Станции...
Контроль сн	0	SELECT ras_sn.numb1120, Max(ras_sn.сн_2026) AS сн_2026, Max(ras_sn.сн_2031) AS сн_2031, (Max(ras_sn.сн_2031)-Max(ras_sn.сн_2026)) AS difference, Имена_станций.NAME, Имена_станций.OES | FROM (SELECT  |             numb1120, |             IIf([e]<>0 And YEAR = 2026, ([e] - [eotp]) / [e] * 100, NULL) AS сн_2026, |             IIf([e]<>0 And YEAR = 2031, ([e] - [eotp]) / [e] * 100, NULL) AS сн_2031 |         FROM  |             [Станции(Схема)] |         WHERE  |             YEAR IN (2026, 2031) |  ...
Контроль списков	16	TRANSFORM Sum([Станции(Схема)].NUST) AS [Sum-NUST] | SELECT [Станции(Схема)].OES, Имена_станций.NAME | FROM (Станции_выше_500_МВт INNER JOIN [Станции(Схема)] ON Станции_выше_500_МВт.NUMB = [Станции(Схема)].NUMB1120) INNER JOIN Имена_станций ON Станции_выше_500_МВт.NUMB = Имена_станций.NUMB | WHERE ((([Станции(Схема)].OES)=3) AND ((Имена_станций.MAIN) Is Null)) | GROUP BY [Станции(Схема)].OES, Имена_станций.NAME | PIVOT [Станции(Схема)].YEAR; | 
Контроль_NR	0	SELECT Станции2018.NAME AS Выражение1, [Станции(Схема)].NR AS nrd, Станции2018.nr AS nrs, [Станции(Схема)]![NR]-[Станции2018]![nr] AS d | FROM ([Станции(Схема)] INNER JOIN vartobase ON [Станции(Схема)].NUMB1120 = vartobase.NUMB1120) INNER JOIN Станции2018 ON vartobase.link = Станции2018.NUMB1120 | WHERE ((([Станции(Схема)]![NR]-[Станции2018]![nr])<>0) AND (([Станции(Схема)].YEAR)=2018)) | ORDER BY [Станции(Схема)].numb1; | 
Контроль_Nt	0	SELECT Имена_станций.NAME, [Станции(Схема)].Year, [Станции(Схема)].NT, Сумма_агрегатов_Nt.Nt28, Z([Nt])-Z([Nt28]) AS d, [Станции(Схема)].NUMB1120 | FROM ([Станции(Схема)] INNER JOIN Сумма_агрегатов_Nt ON [Станции(Схема)].NUMB1120 = Сумма_агрегатов_Nt.grcode) INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Схема)].Year)=2028) AND ((Z([Nt])-Z([Nt28]))<>0)); | 
Контроль_доп_углей	0	SELECT Доп_угли_1135_новый.YEAR, Доп_угли_1135_новый.NUMB1120, Count(Доп_угли_1135_новый.NUMB1120) AS [Count-NUMB1120] | FROM Доп_угли_1135_новый | GROUP BY Доп_угли_1135_новый.YEAR, Доп_угли_1135_новый.NUMB1120 | HAVING (((Count(Доп_угли_1135_новый.NUMB1120))>1)); | 
Контроль_оборудования	0	SELECT Имена_станций.NAME, Станции2016.YEAR AS Выражение1, Станции2016.OBOR AS Выражение2 | FROM Станции2016, Имена_станций | WHERE (((Станции2016.OBOR) Is Null Or (Станции2016.OBOR)=0) AND ((Станции2016.VED)>0)); | 
Контроль_удельных_ГТУ_и_ПГУ	0	SELECT Имена_станций.NAME, [Станция-конфигурация].conf, GTD.Model, GTD.NN, GTD.KPD, [Удельные(Схема)].Bk, [Удельные(Схема)].btp, [Удельные(Схема)].y, [Удельные(Схема)].snk, [Удельные(Схема)].sntp | FROM ([Станции(Схема)] LEFT JOIN [Удельные(Схема)] ON [Станции(Схема)].NUMB1120 = [Удельные(Схема)].numb1120) INNER JOIN ((link INNER JOIN Имена_станций ON link.link = Имена_станций.NUMB) LEFT JOIN ((Конфигурации RIGHT JOIN [Станция-конфигурация] ON Конфигурации.conf = [Станция-конфигурация].conf) LEF...
Контроль-E	0	SELECT [Рабочий(станции)].OES, [Рабочий(станции)].OBL, Имена_станций.NAME, [Рабочий(станции)].E, [Рабочий(станции)].Year | FROM [Рабочий(станции)] INNER JOIN Имена_станций ON [Рабочий(станции)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Рабочий(станции)].E)>0) AND (([Рабочий(станции)].Year)>2025) AND (([Рабочий(станции)].NUST)=0 Or ([Рабочий(станции)].NR) Is Null)) | ORDER BY [Рабочий(станции)].OES, [Рабочий(станции)].OBL, [Рабочий(станции)].numb1; | 
Контроль-H	0	SELECT [Рабочий(станции)].OES, [Рабочий(станции)].OBL, Имена_станций.NAME, [Рабочий(станции)].Year, [e]/[nust]*1000 AS H, [ewtp]/[nust]*1000 AS Htp, IIf([main]>0,1,0) AS [group], IIf([ved]>0,0,1) AS sost, [Рабочий(станции)].OES | FROM [Рабочий(станции)] INNER JOIN Имена_станций ON [Рабочий(станции)].NUMB1120 = Имена_станций.NUMB | WHERE ((([e]/[nust]*1000)>8000) AND ((IIf([ved]>0,0,1))=0) AND (([Рабочий(станции)].Year)=2028 And ([Рабочий(станции)].Year)>2022) AND (([Рабочий(станции)].NUST)>0)) |...
Контроль-QOTR_Аня	0	SELECT [Рабочий(станции)].OES, [Рабочий(станции)].OBL, Имена_станций.NAME, [Рабочий(станции)].QOTR, [Рабочий(станции)].Year | FROM [Рабочий(станции)] INNER JOIN Имена_станций ON [Рабочий(станции)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Рабочий(станции)].QOTR)>0) AND (([Рабочий(станции)].Year)>2024) AND (([Рабочий(станции)].NR)=0 Or ([Рабочий(станции)].NR) Is Null)) | ORDER BY [Рабочий(станции)].OES, [Рабочий(станции)].OBL, [Рабочий(станции)].numb1; | 
Конфигурации по станциям	0	SELECT Имена_станций.NAME, Конфигурации.NGT, GTD.Model AS ГТУ, Конфигурации.NKU, [Котлы-утилизаторы].Model AS Котел, Конфигурации.NPT, [Паровые турбины].Model AS ПТ, [Станция-конфигурация].stan, GTD.NN, GTD.KPD | FROM (((([Станция-конфигурация] INNER JOIN Конфигурации ON [Станция-конфигурация].conf = Конфигурации.conf) INNER JOIN Имена_станций ON [Станция-конфигурация].stan = Имена_станций.NUMB) INNER JOIN GTD ON Конфигурации.GT = GTD.cmodel) LEFT JOIN [Котлы-утилизаторы] ON Конфигурации.KU = [К...
Копирование удельных из СиПР_2030	0	SELECT ud_2031.name, ud_2031.Year, ud_2031.Bk, ud_2030.Bk, ud_2030.snk, ud_2030.y, ud_2030.btp, ud_2030.sntp, ud_2030.numb1120, ud_2030.numb1 | FROM [Удельные(Схема)] AS ud_2031 INNER JOIN [Удельные(Схема)_2030] AS ud_2030 ON (ud_2031.numb1120 = ud_2030.numb1120) AND (ud_2031.year = ud_2030.year) | WHERE (((ud_2031.Year)=2024) AND ((ud_2031.Bk)=0 Or (ud_2031.Bk) Is Null) AND ((ud_2030.Bk)>0)); | 
Копирование_в_группы_натура	48	UPDATE (Натура99 INNER JOIN Имена_станций ON Натура99.NUMB1120 = Имена_станций.NUMB) INNER JOIN Натура99 AS Натура99_1 ON (Натура99.YEAR = Натура99_1.YEAR) AND (Имена_станций.MAIN = Натура99_1.NUMB1120) SET Натура99.DON = [Натура99_1]![don], Натура99.PODM = [Натура99_1]![podm], Натура99.vork = [Натура99_1]![vork], Натура99.intin = [Натура99_1]![intin], Натура99.KUZN = [Натура99_1]![kuzn], Натура99.sver = [Натура99_1]![sver], Натура99.chel = [Натура99_1]![chel], Натура99.kizel = [Натура99_1]![kiz...
Копирование_данных_со_станции_на_группу	48	UPDATE ([Станции(Схема)] AS d INNER JOIN Имена_станций ON d.NUMB1120 = Имена_станций.NUMB) INNER JOIN [Станции(Схема)] AS s ON (d.YEAR = s.YEAR) AND (Имена_станций.MAIN = s.NUMB1120) SET d.NUST = [s]![nust], d.NR = [s]![nr], d.E = [s]![e], d.EOTP = [s]![eotp], d.EURT = [s]![eurt], d.EUST = [s]![eust], d.Q = [s]![q], d.TURT = [s]![turt], d.TUST = [s]![tust], d.B = [s]![b], d.GAZ = [s]![gaz], d.ISK_GAZ = [s]![isk_gaz], d.MAZUT = [s]![mazut], d.TORF = [s]![torf], d.PROCH = [s]![proch], d.UGOL = [s]...
Копирование_данных_со_станции_на_группу1	48	UPDATE ([Станции(Схема)] AS d INNER JOIN Имена_станций ON d.NUMB1120 = Имена_станций.NUMB) INNER JOIN [Станции(Схема)] AS s ON (d.YEAR = s.YEAR) AND (Имена_станций.MAIN = s.NUMB1120) SET d.NUST = [s]![nust], d.NR = [s]![nr], d.E = [s]![e], d.EOTP = [s]![eotp], d.EURT = [s]![eurt], d.EUST = [s]![eust], d.Q = [s]![q], d.TURT = [s]![turt], d.TUST = [s]![tust], d.B = [s]![b], d.GAZ = [s]![gaz], d.ISK_GAZ = [s]![isk_gaz], d.MAZUT = [s]![mazut], d.TORF = [s]![torf], d.PROCH = [s]![proch], d.UGOL = [s]...
Копирование_доп_углей	48	UPDATE ([Доп_угли(Схема)] LEFT JOIN vartobase ON [Доп_угли(Схема)].NUMB1120 = vartobase.NUMB1120) LEFT JOIN Доп_угли2024 AS Dop ON vartobase.link = Dop.NUMB1120 SET [Доп_угли(Схема)].NAME = [Dop]![NAME], [Доп_угли(Схема)].[YEAR] = [Dop]![YEAR], [Доп_угли(Схема)].nazar = [Dop]![nazar], [Доп_угли(Схема)].ibor = [Dop]![ibor], [Доп_угли(Схема)].berez = [Dop]![berez], [Доп_угли(Схема)].per = [Dop]![per], [Доп_угли(Схема)].gusin = [Dop]![gusin], [Доп_угли(Схема)].tugn = [Dop]![tugn], [Доп_угли(Схема)]...
Копирование_доп_углей_со_станции_на_группу	64	INSERT INTO [Доп_угли(Схема)] ( NAME, [YEAR], nazar, ibor, berez, per, irbei, kansk, gusin, tugn, okino, azey, mug, cher, jer, karab, vork, intin, sver, chel, kizel, sosv, kuzngd, kuznt, kuznss, kuznun, har, urt, tataur, tarbag, zab_kam, rai, erk, ogodj, svo, bikin, razdol, hankai, neru, zyryan, pyak, anad, bering, ekib, maikub, karag, karajyra, teniz, gazpp, gaz_prir, maztop, gtt, disel, nft_proch, domen_g, koks_g, prochgaz, tvproch, szh_gaz, inoe, NUMB1120, numb1, v, oes ) | SELECT d.NAME, d.Y...
Копирование_показателей	48	UPDATE ([Станции(Схема)] LEFT JOIN vartobase ON [Станции(Схема)].NUMB1120 = vartobase.NUMB1120) LEFT JOIN Станции2017 ON vartobase.link = Станции2017.NUMB1120 SET [Станции(Схема)].[YEAR] = 2017, [Станции(Схема)].NUST = [Станции2017]![NUST], [Станции(Схема)].NR = [Станции2017]![NR], [Станции(Схема)].E = [Станции2017]![E], [Станции(Схема)].EOTP = [Станции2017]![EOTP], [Станции(Схема)].EURT = [Станции2017]![EURT], [Станции(Схема)].EUST = [Станции2017]![EUST], [Станции(Схема)].Q = [Станции2017]![Q],...
Копирование_удельных	48	UPDATE ([Удельные(Схема)] LEFT JOIN vartobase ON [Удельные(Схема)].numb1120 = vartobase.NUMB1120) LEFT JOIN Удельные2024 ON vartobase.link = Удельные2024.NUMB1120 SET [Удельные(Схема)].[year] = [Удельные2024]![YEAR], [Удельные(Схема)].snk = [Удельные2024]![snk], [Удельные(Схема)].btp = [Удельные2024]![btp], [Удельные(Схема)].sntp = [Удельные2024]![sntp], [Удельные(Схема)].Bk = [Удельные2024]![Bk], [Удельные(Схема)].y = [Удельные2024]![Y] | WHERE ((([Удельные(Схема)].year)=2024) AND (([Удельные(С...
Копирование_удельных_со_станции_на_группу	64	INSERT INTO [Удельные(Схема)] ( name, [year], snk, k, obor, btp, sntp, Bk, y, Kh, bbas, Ksn, snbas, numb1120, numb1, v, fbt ) | SELECT [Удельные(Схема)].name, [Удельные(Схема)].year, [Удельные(Схема)].snk, [Удельные(Схема)].k, [Удельные(Схема)].obor, [Удельные(Схема)].btp, [Удельные(Схема)].sntp, [Удельные(Схема)].Bk, [Удельные(Схема)].y, [Удельные(Схема)].Kh, [Удельные(Схема)].bbas, [Удельные(Схема)].Ksn, [Удельные(Схема)].snbas, [код группы] AS numb1120, [номер] AS numb1, [Удельные(Схема)].v, ...
Копирование_формул_топлива_со_станции_на_группу	64	INSERT INTO [Формулы_топлива(Схема)] ( NAME, [year], formtxt, numb1120, numb1, v ) | SELECT [Формулы_топлива(Схема)].NAME, [Формулы_топлива(Схема)].year, [Формулы_топлива(Схема)].formtxt, [код группы] AS numb1120, [номер] AS numb1, [Формулы_топлива(Схема)].v | FROM [Формулы_топлива(Схема)] | WHERE ((([Формулы_топлива(Схема)].numb1120)=[код станции])); | 
Котельные	0	SELECT Имена_станций.NAME, [Станции(Щадов_до_2020)].YEAR, [Станции(Щадов_до_2020)].Q, InStr([Имена_станций]![NAME],"котельные") AS k | FROM [Станции(Щадов_до_2020)] INNER JOIN Имена_станций ON [Станции(Щадов_до_2020)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Щадов_до_2020)].YEAR)=1999) AND (([Станции(Щадов_до_2020)].OBOR)=95)) | ORDER BY [Станции(Щадов_до_2020)].numb1; | 
Коэфф-оптим	0	SELECT Удельные1100.name, Удельные1100.Bk, 1.1-0.2*(2.75-[Удельные1100]![Bk]/200) AS k | FROM Удельные1100 INNER JOIN Станции1100 ON Удельные1100.numb1120 = Станции1100.NUMB1120 | WHERE (((Станции1100.OBOR)>89) AND ((Станции1100.YEAR)=1998) AND ((Станции1100.VED)>0) AND ((Станции1100.NUST)>0)); | 
Лишние_группы	0	SELECT Имена_станций.NAME, [Станции(Схема)].NUMB1120 | FROM ([Станции(Схема)] LEFT JOIN Списки_агрегатов ON [Станции(Схема)].NUMB1120 = Списки_агрегатов.grcode) INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE (((Списки_агрегатов.grcode) Is Null) AND (([Станции(Схема)].VED)>0) AND (([Станции(Схема)].OBOR)<>95)) | GROUP BY Имена_станций.NAME, [Станции(Схема)].NUMB1120, [Станции(Схема)].OES | ORDER BY [Станции(Схема)].OES; | 
Макс_код	0	SELECT Max(Имена_станций.NUMB) AS Max_NUMB | FROM Имена_станций; | 
Макс_код_типа	0	SELECT Max([Имена_станций].[GK]) AS [Max-GK] | FROM Имена_станций | WHERE ((([Имена_станций].[BE])=5)); | 
Максимальный_код_линии	0	SELECT Max(Сети.id) AS [Max-id] | FROM Сети | WHERE (((Сети.oes)=6)); | 
Максимальный_код_области	0	SELECT Max([Имена_областей].[OBL]) AS [Max-OBL] | FROM Имена_областей | WHERE ((([Имена_областей].[OBL])>=100 And ([Имена_областей].[OBL])<=199)); | 
Мощности_не_ТЭС	0	SELECT Списки_не_ТЭС.IMST, Списки_не_ТЭС.NST, Sum(Списки_не_ТЭС.[2008]) AS 2008, Sum(Списки_не_ТЭС.[2009]) AS 2009, Sum(Списки_не_ТЭС.[2010]) AS 2010, Sum(Списки_не_ТЭС.[2011]) AS 2011, Sum(Списки_не_ТЭС.[2012]) AS 2012, Sum(Списки_не_ТЭС.[2013]) AS 2013, Sum(Списки_не_ТЭС.[2014]) AS 2014, Sum(Списки_не_ТЭС.[2015]) AS 2015, Sum(Списки_не_ТЭС.[2016]) AS 2016, Sum(Списки_не_ТЭС.[2017]) AS 2017, Sum(Списки_не_ТЭС.[2018]) AS 2018, Sum(Списки_не_ТЭС.[2019]) AS 2019, Sum(Списки_не_ТЭС.[2020]) AS 2020,...
Мощности_станций	16	TRANSFORM Sum([Станции(Схема)].NUST) AS [Sum-NUST] | SELECT Станции_выше_500_МВт.NAME, Станции_выше_500_МВт.ordnumb | FROM [Станции(Схема)] INNER JOIN Станции_выше_500_МВт ON [Станции(Схема)].NUMB1120 = Станции_выше_500_МВт.NUMB | WHERE ((([Станции(Схема)].YEAR)<2016)) | GROUP BY Станции_выше_500_МВт.NAME, Станции_выше_500_МВт.ordnumb | ORDER BY Станции_выше_500_МВт.ordnumb | PIVOT [Станции(Схема)].YEAR; | 
Мощности_станций_сумма_агрегатов	0	SELECT Станции_выше_500_МВт.NAME, Станции_выше_500_МВт.ordnumb, Sum(Списки_агрегатов.[2008]) AS [Sum-2008], Sum(Списки_агрегатов.[2009]) AS [Sum-2009], Sum(Списки_агрегатов.[2010]) AS [Sum-2010], Sum(Списки_агрегатов.[2011]) AS [Sum-2011], Sum(Списки_агрегатов.[2012]) AS [Sum-2012], Sum(Списки_агрегатов.[2013]) AS [Sum-2013], Sum(Списки_агрегатов.[2014]) AS [Sum-2014], Sum(Списки_агрегатов.[2015]) AS [Sum-2015] | FROM Списки_агрегатов INNER JOIN Станции_выше_500_МВт ON Списки_агрегатов.stcode = ...
не хватает в отчёте, есть в СИПР	0	SELECT [Станции_для_сводной(Схема)].*, [Станции_для_сводной(Схема)].Year | FROM [нет в отчёте_есть в СИПР] INNER JOIN [Станции_для_сводной(Схема)] ON [нет в отчёте_есть в СИПР].NUMB1120 = [Станции_для_сводной(Схема)].NUMB1120 | WHERE ((([Станции_для_сводной(Схема)].Year)=2026)) | WITH OWNERACCESS OPTION; | 
Не_ТЭС	0	SELECT Списки_не_ТЭС.*, Имена_станций_не_ТЭС.reu, Имена_станций_не_ТЭС.nreu, Имена_станций_не_ТЭС.obl, Имена_областей.NAME, Имена_областей.OES, Имена_станций_не_ТЭС.type | FROM (Списки_не_ТЭС INNER JOIN Имена_станций_не_ТЭС ON Списки_не_ТЭС.NST = Имена_станций_не_ТЭС.NST) INNER JOIN Имена_областей ON Имена_станций_не_ТЭС.obl = Имена_областей.OBL; | 
Небаланс	0	SELECT DISTINCTROW [Рабочий(станции)].NAME, [Рабочий(станции)].OES, [Рабочий(станции)].numb1, [Рабочий(станции)].YEAR, Abs([B]-z([EUST])-z([TUST])) AS BэBт, Abs([B]-z([GAZ])-z([MAZUT])-z([TORF])-z([SLAN])-z([PROCH])-z([UGOL])) AS Топливо, Abs(z([ugol])-z([DON])-z([PODM])-z([PECH])-z([KUZN])-z([URAL])-z([BASHK])-z([EKIB])-z([KARAG])-z([KAN])-z([IRKUT])-z([HAK])-z([TUV])-z([BUR])-z([CHIT])-z([NER])-z([RAICH])-z([URG])-z([PRIM])-z([LUCH])-z([MAG])-z([SAH])) AS DU, [Рабочий(станции)].NUMB1120 | FROM...
Небаланс(просмотр)	0	SELECT DISTINCTROW Имена_станций.NAME, Небаланс.BэBт, Небаланс.Топливо, Небаланс.DU, Небаланс.YEAR, Небаланс.OES, Имена_станций.NUMB | FROM Небаланс LEFT JOIN Имена_станций ON Небаланс.NUMB1120 = Имена_станций.NUMB | WHERE (((Небаланс.DU)>0.5)) OR (((Небаланс.BэBт)>0.5)) OR (((Небаланс.Топливо)>0.5)); | 
Недостающие данные по промпредприятиям для экологии	0	SELECT Имена_станций.NAME, Имена_ОЭС.nameoes, Имена_эк_районов.name AS ername, Имена_областей.NAME AS oblname, Имена_станций.ordnumb, [Станции(Схема)].Year, IIf([Станции(Схема)].[NUST]>0,[Станции(Схема)].[NUST],0) AS NUST, [Станции(Схема)].NR, IIf([Станции(Схема)].[E]>0,[Станции(Схема)].[E],0) AS E, IIf([Станции(Схема)].[EOTP]>0,[Станции(Схема)].[EOTP],0) AS EOTP, IIf([Станции(Схема)].[EURT]>0,[Станции(Схема)].[EURT],0) AS EURT, IIf([Станции(Схема)].[EUST]>0,[Станции(Схема)].[EUST],0) AS EUST, I...
Нет bt	0	SELECT Имена_станций.NAME, [Станции(Схема)].Year, [Станции(Схема)].Q, [Станции(Схема)].TURT, [Станции(Схема)].NUMB1120, Имена_ОЭС.nameoes, Имена_областей.NAME AS oblast | FROM Имена_областей INNER JOIN (Имена_ОЭС INNER JOIN ([Станции(Схема)] INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB) ON Имена_ОЭС.oes = Имена_станций.OES) ON Имена_областей.OBL = Имена_станций.OBL | WHERE ((([Станции(Схема)].Q)>0) AND (([Станции(Схема)].TURT)=0 Or ([Станции(Схема)].TURT) Is Null) A...
нет TURT	0	SELECT [Станции(Схема)].numb1120, [Станции(Схема)].Q | FROM [Станции(Схема)] | WHERE ((([Станции(Схема)].numb1120) Not In (SELECT numb1120 |     FROM [Станции(Схема)] |     WHERE year = 2042 AND TURT IS NOT NULL | )) AND (([Станции(Схема)].year)=2018) AND (([Станции(Схема)].Q)>0)); | 
Нет в натуре	0	SELECT [Станции(Схема)].NAME | FROM [Станции(Схема)] LEFT JOIN Натура99 ON ([Станции(Схема)].NUMB1120 = Натура99.NUMB1120) AND ([Станции(Схема)].YEAR = Натура99.YEAR) | WHERE ((([Станции(Схема)].YEAR)=2005) AND (([Станции(Схема)].NUST)>0) AND ((Натура99.NUMB1120) Is Null) AND (([Станции(Схема)].UGOL)>0)); | 
нет в отчёте_есть в СИПР	0	SELECT Станции2024.NAME, Станции2024.YEAR AS 2024, [Станции(Схема)].YEAR AS 2026, Станции2024.E AS 2024_E, [Станции(Схема)].E AS 2026_E, [Станции(Схема)].BE, Станции2024.B AS 2024_B, [Станции(Схема)].B AS 2026_B, Станции2024.NUMB1120 | FROM Станции2024 LEFT JOIN [Станции(Схема)] ON Станции2024.NUMB1120 = [Станции(Схема)].NUMB1120 | WHERE ((([Станции(Схема)].YEAR)=2026) AND (([Станции(Схема)].BE)=9) AND ((Станции2024.B)=0 Or (Станции2024.B) Is Null) AND (([Станции(Схема)].B)>0)) | WITH OWNERACCES...
нет города	0	SELECT [Станции(Схема)].NAME | FROM [Станции(Схема)] INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Схема)].YEAR)=2005) AND ((Имена_станций.codegor) Is Null)) | ORDER BY Имена_станций.ordnumb; | 
Нет удельных	0	SELECT Имена_станций.NAME, [Станции(Схема)].NUST, [Станции(Схема)].VED, [Удельные(Схема)].year, [Станции(Схема)].OES | FROM ([Станции(Схема)] LEFT JOIN [Удельные(Схема)] ON [Станции(Схема)].NUMB1120 = [Удельные(Схема)].numb1120) INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Схема)].NUST)>0) AND (([Станции(Схема)].VED)>0) AND (([Удельные(Схема)].year) Is Null)); | 
Нет_в_не_ТЭС	0	SELECT Списки_не_ТЭС.IMST, Списки_не_ТЭС.NST, Имена_станций_не_ТЭС.NST | FROM Списки_не_ТЭС LEFT JOIN Имена_станций_не_ТЭС ON Списки_не_ТЭС.NST = Имена_станций_не_ТЭС.NST | WHERE (((Имена_станций_не_ТЭС.NST) Is Null)); | 
Нет_оборудования	0	SELECT [Станции(Схема)].OES, Имена_станций.NAME | FROM [Станции(Схема)] INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Схема)].VED)>0) AND (([Станции(Схема)].NUST)>0) AND (([Станции(Схема)].OBOR)=0 Or ([Станции(Схема)].OBOR) Is Null)) | GROUP BY [Станции(Схема)].OES, Имена_станций.NAME; | 
Нет_тепловой_мощности	0	SELECT [Станции(Схема)].OES, Имена_станций.NAME, [Станции(Схема)].YEAR, [Станции(Схема)].OBOR, [Станции(Схема)].NT, [Станции(Схема)].Q | FROM [Станции(Схема)] INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Схема)].YEAR)>2011) AND (([Станции(Схема)].OBOR)=90 Or ([Станции(Схема)].OBOR)=91) AND (([Станции(Схема)].NT)=0 Or ([Станции(Схема)].NT) Is Null) AND (([Станции(Схема)].NUST)>0) AND (([Станции(Схема)].Q)>0)) | ORDER BY [Станции(Схема)].OES, [Стан...
Нет_топлива	0	SELECT Имена_станций.NAME | FROM ([Станции(Схема)] LEFT JOIN [Формулы_топлива(Схема)] ON [Станции(Схема)].NUMB1120 = [Формулы_топлива(Схема)].numb1120) INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Формулы_топлива(Схема)].numb1120) Is Null) AND (([Станции(Схема)].VED)>0)) | GROUP BY Имена_станций.NAME, [Станции(Схема)].NUST | HAVING ((([Станции(Схема)].NUST)>0)); | 
Нет2002	0	SELECT Имена_станций.NAME, Count([Станции(Стратегия)].YEAR) AS [Count-YEAR], [Станции(Стратегия)].NUMB1120, [Станции(Стратегия)].numb1 | FROM [Станции(Стратегия)] INNER JOIN Имена_станций ON [Станции(Стратегия)].NUMB1120 = Имена_станций.NUMB | GROUP BY Имена_станций.NAME, [Станции(Стратегия)].NUMB1120, [Станции(Стратегия)].numb1 | HAVING (((Count([Станции(Стратегия)].YEAR))<>9)); | 
